speed,azimuth,x,y,time
  0,180.04444444444445,1024.0,1148.0,1563921011.5499196
  0,180.0888888888889,1024.0,1148.0,1563921011.6476574
  0,180.0,1027.1746031746031,1147.1746031746031,1563921011.7483885
  0,180.0,1024.0,1148.0,1563921011.8541064
  0,180.0,1024.0,1148.0,1563921011.9613304
  0,180.04444444444445,1027.1746031746031,1147.1746031746031,1563921012.063058
  1,180.04444444444445,1024.0,1148.0,1563921012.16778
  2,180.04444444444445,1027.1746031746031,1147.1746031746031,1563921012.2625244
  3,180.04444444444445,1024.0,1148.0,1563921012.3622582
  4,180.7111111111111,1024.0,1148.0,1563921012.4654937
  4,180.0888888888889,1024.0,1148.0,1563921012.5637405
  5,179.93333333333334,996.5436893203884,1172.5436893203882,1563921012.665622
  6,180.62222222222223,1024.0,1148.0,1563921012.761875
  6,180.44444444444446,1027.1746031746031,1147.1746031746031,1563921012.8631117
  7,180.7111111111111,1024.0,1148.0,1563921012.962846
  7,180.7111111111111,996.0,1176.0,1563921013.0665681
  8,179.93333333333334,1024.0,1148.0,1563921013.1643076
  9,181.0222222222222,1024.0,1148.0,1563921013.2640398
  9,180.7111111111111,1024.0,1148.0,1563921013.3647704
 10,180.4,1024.0,1148.0,1563921013.4724846
 10,179.93333333333334,1024.0,1148.0,1563921013.562242
 11,179.93333333333334,1024.0,1148.0,1563921013.6689582
 12,179.93333333333334,1026.4496124031007,1150.4496124031007,1563921013.7669785
 12,180.53333333333333,1024.0,1152.0,1563921013.866711
 13,181.11111111111111,1024.0,1152.0,1563921013.9664447
 14,180.35555555555555,1024.0,1152.0,1563921014.0701673
 14,180.57777777777778,1128.2051282051282,1184.2051282051282,1563921014.1649141
 15,180.9777777777778,1024.0,1152.0,1563921014.2656438
 16,180.57777777777778,1027.1746031746031,1151.1746031746031,1563921014.3678796
 16,180.53333333333333,1025.5748031496064,1153.5748031496064,1563921014.4716032
 17,180.35555555555555,984.1951219512196,1204.1951219512196,1563921014.5743277
 18,180.4,1028.5436893203882,1172.5436893203882,1563921014.6660824
 18,181.11111111111111,1027.1746031746031,1155.1746031746031,1563921014.760831
 19,191.42222222222222,1027.1746031746031,1155.1746031746031,1563921014.8515868
 19,191.42222222222222,1024.0,1156.0,1563921014.9533138
 20,180.7111111111111,1027.1746031746031,1155.1746031746031,1563921015.053048
 21,180.75555555555556,1027.1746031746031,1159.1746031746031,1563921015.1527817
 21,181.15555555555557,1027.1746031746031,1159.1746031746031,1563921015.2475266
 22,181.2888888888889,1024.0,1156.0,1563921015.3512697
 23,181.37777777777777,1026.4496124031007,1158.4496124031007,1563921015.4470134
 23,181.37777777777777,1024.0,1160.0,1563921015.5357814
 24,181.9111111111111,1024.923076923077,1160.923076923077,1563921015.6338773
 24,182.22222222222223,1027.1746031746031,1159.1746031746031,1563921015.736602
 25,181.82222222222222,1024.923076923077,1160.923076923077,1563921015.8313503
 26,182.35555555555555,1024.923076923077,1160.923076923077,1563921015.934074
 26,182.22222222222223,1027.1746031746031,1163.1746031746031,1563921016.0323226
 27,182.22222222222223,1026.4496124031007,1162.4496124031007,1563921016.1315675
 27,182.22222222222223,1024.923076923077,1164.923076923077,1563921016.2332957
 28,182.35555555555555,1025.5748031496064,1165.5748031496064,1563921016.3350234
 28,182.57777777777778,1024.923076923077,1164.923076923077,1563921016.4347565
 28,182.35555555555555,1025.5748031496064,1165.5748031496064,1563921016.5334918
 28,182.57777777777778,1024.923076923077,1164.923076923077,1563921016.6342237
 28,182.62222222222223,1024.0,1168.0,1563921016.7359517
 29,182.57777777777778,1024.0,1168.0,1563921016.836683
 30,182.88888888888889,1024.561403508772,1168.561403508772,1563921016.9423993
 31,182.48888888888888,1025.037037037037,1169.037037037037,1563921017.034154
 32,183.06666666666666,1022.1538461538462,1170.1538461538462,1563921017.1399481
 32,183.0222222222222,1022.1538461538462,1170.1538461538462,1563921017.2528846
 34,183.11111111111111,1021.2244897959183,1177.2244897959183,1563921017.3571167
 35,182.88888888888889,997.1764705882354,1197.1764705882354,1563921017.457848
 35,182.75555555555556,1021.4653465346535,1173.4653465346535,1563921017.5585787
 36,182.8,1005.6744186046512,1201.6744186046512,1563921017.6523275
 37,183.11111111111111,1022.9803921568628,1174.9803921568628,1563921017.757053
 38,183.42222222222222,1024.0,1180.0,1563921017.8493185
 38,180.0888888888889,1024.0,1180.0,1563921017.9535477
 39,183.42222222222222,1024.0,1180.0,1563921018.0517924
 40,183.11111111111111,1022.9803921568628,1178.9803921568628,1563921018.1545181
 40,183.73333333333332,1010.2608695652174,1198.2608695652175,1563921018.2552495
 41,183.77777777777777,1022.9803921568628,1182.9803921568628,1563921018.3619635
 42,183.6888888888889,1022.9803921568628,1182.9803921568628,1563921018.457708
 42,183.64444444444445,1021.4653465346535,1185.4653465346535,1563921018.5544488
 43,183.77777777777777,1022.1538461538462,1186.1538461538462,1563921018.6521866
 43,184.3111111111111,1020.0,1188.0,1563921018.7509239
 43,183.77777777777777,1022.1538461538462,1186.1538461538462,1563921018.8327043
 43,183.77777777777777,1022.1538461538462,1190.1538461538462,1563921018.9259644
 42,184.4,1021.4653465346535,1189.4653465346535,1563921019.0222175
 43,184.44444444444446,1020.5436893203884,1192.5436893203882,1563921019.116964
 44,184.4,1022.9803921568628,1190.9803921568628,1563921019.2047293
 45,184.44444444444446,1018.5858585858587,1194.5858585858587,1563921019.3064575
 45,184.44444444444446,1020.0,1196.0,1563921019.4041963
 46,185.06666666666666,1020.0,1196.0,1563921019.5104222
 47,184.7111111111111,1018.9803921568628,1198.9803921568628,1563921019.610663
 48,185.06666666666666,1018.9803921568628,1198.9803921568628,1563921019.7064066
 49,185.11111111111111,988.1951219512196,1240.1951219512196,1563921019.811125
 49,185.06666666666666,1020.0,1204.0,1563921019.9088655
 50,185.06666666666666,1018.9803921568628,1202.9803921568628,1563921020.0036116
 51,185.42222222222222,1017.2244897959183,1205.2244897959183,1563921020.1073344
 51,185.42222222222222,1018.9803921568628,1202.9803921568628,1563921020.204075
 52,185.42222222222222,1022.1538461538462,1206.1538461538462,1563921020.3048055
 53,185.73333333333332,1016.0,1208.0,1563921020.406534
 54,185.42222222222222,1017.4653465346535,1209.4653465346535,1563921020.5082622
