speed,azimuth,x,y,time
  0,182.4,1024.0,1152.0,1563921398.744634
  0,182.44444444444446,1026.4496124031007,1150.4496124031007,1563921398.8413744
  0,182.44444444444446,1026.4496124031007,1150.4496124031007,1563921398.9331307
  0,182.44444444444446,1026.4496124031007,1150.4496124031007,1563921399.0268798
  0,182.4,1026.4496124031007,1150.4496124031007,1563921399.1091702
  0,182.44444444444446,1025.5748031496064,1149.5748031496064,1563921399.193944
  0,182.44444444444446,1024.0,1152.0,1563921399.2767212
  0,182.44444444444446,1024.0,1152.0,1563921399.3591347
  0,182.44444444444446,1027.1746031746031,1151.1746031746031,1563921399.444906
  1,182.44444444444446,1027.1746031746031,1151.1746031746031,1563921399.5456364
  2,182.44444444444446,1027.1746031746031,1151.1746031746031,1563921399.6473641
  3,182.44444444444446,1027.1746031746031,1151.1746031746031,1563921399.7476044
  4,182.44444444444446,1027.1746031746031,1151.1746031746031,1563921399.8508384
  5,182.44444444444446,1025.5748031496064,1149.5748031496064,1563921399.947093
  6,182.44444444444446,1024.0,1152.0,1563921400.042837
  7,182.44444444444446,996.5436893203884,1176.5436893203882,1563921400.1315994
  8,182.44444444444446,1024.0,1152.0,1563921400.23233
  9,182.44444444444446,1024.0,1152.0,1563921400.3280752
  9,182.44444444444446,1024.0,1152.0,1563921400.4088573
 10,182.44444444444446,1027.1746031746031,1155.1746031746031,1563921400.4966238
 11,182.4,1027.1746031746031,1155.1746031746031,1563921400.5953586
 12,182.8,1024.0,1152.0,1563921400.683125
 13,182.44444444444446,1024.0,1152.0,1563921400.7838562
 14,182.44444444444446,1024.0,1152.0,1563921400.8786025
 15,182.44444444444446,1024.0,1152.0,1563921400.9593868
 16,182.44444444444446,1027.1746031746031,1155.1746031746031,1563921401.0461547
 16,182.4,1024.0,1156.0,1563921401.1478825
 17,182.4,1024.0,1156.0,1563921401.2466235
 18,182.44444444444446,1027.1746031746031,1155.1746031746031,1563921401.347537
 19,182.44444444444446,1026.4496124031007,1154.4496124031007,1563921401.444787
 19,182.44444444444446,1024.0,1156.0,1563921401.5300694
 20,182.44444444444446,1024.0,1156.0,1563921401.626809
 21,182.8,1026.4496124031007,1158.4496124031007,1563921401.7165692
 22,182.44444444444446,1027.1746031746031,1159.1746031746031,1563921401.8133094
 22,182.44444444444446,1027.1746031746031,1159.1746031746031,1563921401.8950906
 23,182.44444444444446,1027.1746031746031,1159.1746031746031,1563921402.0047982
 23,182.44444444444446,1024.923076923077,1160.923076923077,1563921402.0975502
 23,182.44444444444446,1026.4496124031007,1162.4496124031007,1563921402.1992774
 23,182.4,1024.0,1160.0,1563921402.2950222
 23,182.44444444444446,1025.5748031496064,1161.5748031496064,1563921402.3847818
 23,182.44444444444446,1024.0,1164.0,1563921402.4820325
 23,182.4,1024.923076923077,1164.923076923077,1563921402.5827637
 25,182.4,1023.1746031746031,1163.1746031746031,1563921402.6765118
 27,182.8,1027.1746031746031,1167.1746031746031,1563921402.765274
 29,182.44444444444446,1024.923076923077,1164.923076923077,1563921402.8670034
 31,182.44444444444446,1024.5714285714287,1164.5714285714287,1563921402.9672446
 33,182.4,1025.5094339622642,1165.5094339622642,1563921403.0654933
 34,182.44444444444446,1022.1538461538462,1166.1538461538462,1563921403.1667438
 36,182.44444444444446,1024.0,1168.0,1563921403.2619896
 37,182.8,1024.0,1172.0,1563921403.3447676
 38,182.44444444444446,1026.1538461538462,1170.1538461538462,1563921403.4345272
 39,182.4,1021.4653465346535,1169.4653465346535,1563921403.5372536
 41,182.44444444444446,1088.3076923076924,1040.3076923076924,1563921403.6349912
 42,182.8,1026.1538461538462,1174.1538461538462,1563921403.7327297
 43,182.44444444444446,1149.7142857142858,1201.7142857142858,1563921403.834459
 44,182.44444444444446,1026.1538461538462,1174.1538461538462,1563921403.934192
 45,182.84444444444443,1018.6666666666667,1182.6666666666667,1563921404.032928
 46,182.44444444444446,1026.1538461538462,1178.1538461538462,1563921404.1291802
 47,182.44444444444446,1024.5436893203882,1180.5436893203882,1563921404.2169454
 48,182.44444444444446,1024.0,1184.0,1563921404.3156817
 49,182.4,1021.4653465346535,1181.4653465346535,1563921404.4154146
 50,182.44444444444446,1024.0,1184.0,1563921404.5181398
 50,182.44444444444446,1024.0,1188.0,1563921404.6168754
 51,182.4,1024.0,1188.0,1563921404.7156115
 51,182.44444444444446,1024.0,1188.0,1563921404.7963955
 51,182.44444444444446,1024.0,1188.0,1563921404.8821654
 50,182.4,1022.9803921568628,1190.9803921568628,1563921404.9828968
 50,182.4,1022.9803921568628,1190.9803921568628,1563921405.0856233
 50,182.44444444444446,1024.0,1192.0,1563921405.181366
 50,182.44444444444446,1213.9459459459458,1289.9459459459458,1563921405.271126
 52,182.4,1024.0,1196.0,1563921405.3658721
 53,182.44444444444446,1021.4653465346535,1197.4653465346535,1563921405.451644
 54,182.4,1022.9803921568628,1198.9803921568628,1563921405.5508857
 55,182.44444444444446,1022.9803921568628,1198.9803921568628,1563921405.6541197
 56,182.4,1022.9803921568628,1198.9803921568628,1563921405.7498643
 56,182.44444444444446,1022.1538461538462,1202.1538461538462,1563921405.8495975
 57,182.8,1021.2244897959183,1205.2244897959183,1563921405.9323757
 58,182.4,1022.9803921568628,1202.9803921568628,1563921406.0281188
 59,182.4,1024.0,1208.0,1563921406.1209035
 60,182.4,1024.340425531915,1220.340425531915,1563921406.2166464
 60,182.44444444444446,1024.5436893203882,1208.5436893203882,1563921406.3009307
 61,182.44444444444446,1006.2528735632184,1238.2528735632184,1563921406.3996665
 61,182.4,997.1764705882354,1249.1764705882354,1563921406.4794521
 62,182.44444444444446,1020.0,1216.0,1563921406.5702102
 63,182.4,1006.2528735632184,1242.2528735632184,1563921406.6689456
 63,182.4,1020.0,1220.0,1563921406.7676811
 64,182.4,984.0,1156.0,1563921406.8494637
 65,182.44444444444446,1021.4653465346535,1221.4653465346535,1563921406.9372299
 65,182.4,1260.5633802816901,1184.5633802816901,1563921407.0409527
 66,182.44444444444446,1022.9803921568628,1222.9803921568628,1563921407.1431875
 67,182.4,1024.5436893203882,1224.5436893203882,1563921407.2483594
 67,182.44444444444446,1020.0,1228.0,1563921407.3389773
 68,182.44444444444446,1022.9803921568628,1230.9803921568628,1563921407.433864
 68,182.4,1020.5436893203884,1232.5436893203882,1563921407.5156457
 69,182.44444444444446,1022.9803921568628,1230.9803921568628,1563921407.6032124
 69,182.44444444444446,1044.9032258064517,1108.9032258064517,1563921407.696962
 70,182.44444444444446,1010.2528735632184,1222.2528735632184,1563921407.784727
 70,182.44444444444446,989.3333333333333,1189.3333333333333,1563921407.8695006
 71,182.44444444444446,1021.6744186046512,1241.6744186046512,1563921407.9747317
 71,182.8,1020.7619047619048,1244.7619047619048,1563921408.0667682
 71,182.8,1020.7619047619048,1244.7619047619048,1563921408.1759872
 71,182.44444444444446,1021.6744186046512,1245.6744186046512,1563921408.2817075
 70,182.4,1016.0,1260.0,1563921408.3724618
 70,182.44444444444446,989.7142857142858,1201.7142857142858,1563921408.468207
