speed,azimuth,x,y,time
  0,255.17777777777778,646.4496124031008,594.4496124031008,1563922730.3169518
  0,255.17777777777778,646.4496124031008,594.4496124031008,1563922730.4296558
  0,255.17777777777778,648.0,596.0,1563922730.5303812
  0,255.17777777777778,646.4496124031008,594.4496124031008,1563922730.6191447
  0,255.17777777777778,646.4496124031008,594.4496124031008,1563922730.7039177
  0,255.17777777777778,648.0,596.0,1563922730.7876923
  0,255.17777777777778,646.4496124031008,594.4496124031008,1563922730.8861578
  0,255.17777777777778,646.4496124031008,594.4496124031008,1563922730.9863968
  0,255.17777777777778,646.4496124031008,594.4496124031008,1563922731.0881257
  0,255.17777777777778,646.4496124031008,594.4496124031008,1563922731.1838694
  0,255.17777777777778,646.4496124031008,594.4496124031008,1563922731.2706382
  1,255.17777777777778,646.4496124031008,594.4496124031008,1563922731.3705287
  2,255.17777777777778,648.0,596.0,1563922731.4683812
  3,255.17777777777778,644.9230769230769,596.9230769230769,1563922731.567118
  4,255.13333333333333,646.4496124031008,594.4496124031008,1563922731.6598704
  5,254.9777777777778,644.0,596.0,1563922731.753621
  6,254.9777777777778,644.9230769230769,596.9230769230769,1563922731.8516235
  7,254.9777777777778,644.0,596.0,1563922731.938454
  8,254.9777777777778,644.0,596.0,1563922732.0202358
  9,254.9777777777778,644.0,596.0,1563922732.1239588
 10,255.13333333333333,644.0,596.0,1563922732.2204444
 11,255.13333333333333,642.4496124031008,594.4496124031008,1563922732.3062103
 12,255.13333333333333,644.0,596.0,1563922732.4050117
 13,255.13333333333333,644.0,596.0,1563922732.5010793
 14,255.17777777777778,644.0,596.0,1563922732.6038136
 15,255.17777777777778,644.0,596.0,1563922732.6880896
 16,255.17777777777778,644.0,596.0,1563922732.7693806
 16,255.17777777777778,644.0,596.0,1563922732.855407
 17,255.17777777777778,645.8360655737705,597.8360655737705,1563922732.9536507
 18,255.17777777777778,640.0,596.0,1563922733.0367548
 19,255.17777777777778,640.0,596.0,1563922733.1370757
 20,255.17777777777778,640.0,596.0,1563922733.225031
 20,255.17777777777778,640.0,596.0,1563922733.3197775
 21,255.57777777777778,640.0,596.0,1563922733.4223213
 22,255.57777777777778,640.0,596.0,1563922733.5220573
 23,255.17777777777778,636.0,596.0,1563922733.6088278
 23,255.17777777777778,637.5748031496063,597.5748031496063,1563922733.7055676
 24,255.17777777777778,639.1746031746031,599.1746031746031,1563922733.7903411
 24,255.17777777777778,636.0,600.0,1563922733.8900735
 24,255.17777777777778,636.0,600.0,1563922733.9878135
 24,255.17777777777778,636.0,600.0,1563922734.086665
 24,255.17777777777778,633.5748031496063,597.5748031496063,1563922734.174968
 25,254.9777777777778,636.0,600.0,1563922734.2727082
 27,254.9777777777778,632.9230769230769,600.9230769230769,1563922734.3553402
 29,256.15555555555557,632.0,600.0,1563922734.4392796
 31,254.93333333333334,630.5486725663717,598.5486725663717,1563922734.5416334
 33,255.57777777777778,631.2523364485982,599.2523364485982,1563922734.6393728
 35,255.13333333333333,630.1538461538462,598.1538461538462,1563922734.7221603
 36,254.93333333333334,630.1538461538462,598.1538461538462,1563922734.8059275
 37,254.9777777777778,628.0,600.0,1563922734.8919134
 39,254.9777777777778,626.1538461538462,602.1538461538462,1563922734.990899
 40,254.9777777777778,624.5436893203884,600.5436893203884,1563922735.0885985
 41,254.9777777777778,626.9803921568628,598.9803921568628,1563922735.173374
 42,254.9777777777778,626.1538461538462,602.1538461538462,1563922735.259654
 43,254.9777777777778,625.4653465346535,601.4653465346535,1563922735.3568957
 44,254.93333333333334,621.4653465346535,601.4653465346535,1563922735.4565406
 45,254.9777777777778,622.9803921568628,602.9803921568628,1563922735.5557833
 46,254.9777777777778,618.9803921568628,602.9803921568628,1563922735.6575115
 47,254.9777777777778,618.1538461538462,602.1538461538462,1563922735.739302
 47,255.26666666666668,618.1538461538462,602.1538461538462,1563922735.8252792
 48,255.57777777777778,614.1538461538462,602.1538461538462,1563922735.924768
 49,254.4,614.9803921568628,602.9803921568628,1563922736.022371
 50,253.0222222222222,614.9803921568628,602.9803921568628,1563922736.1095347
 51,254.93333333333334,610.9803921568628,602.9803921568628,1563922736.2068794
 51,254.93333333333334,610.9803921568628,602.9803921568628,1563922736.291404
 51,254.93333333333334,610.1538461538462,606.1538461538462,1563922736.3893468
 51,255.0888888888889,610.1538461538462,606.1538461538462,1563922736.4908154
 51,255.57777777777778,606.9803921568628,602.9803921568628,1563922736.5906234
 50,267.6222222222222,606.9803921568628,606.9803921568628,1563922736.679407
 50,254.9777777777778,606.1538461538462,606.1538461538462,1563922736.7773807
 51,255.66666666666666,602.9803921568628,606.9803921568628,1563922736.8764997
 52,255.9777777777778,602.9803921568628,606.9803921568628,1563922736.9583473
 52,257.1333333333333,602.1538461538462,606.1538461538462,1563922737.041146
 53,258.46666666666664,598.9803921568628,606.9803921568628,1563922737.1269162
 54,259.53333333333336,597.4653465346535,605.4653465346535,1563922737.2276475
 55,260.2,598.1538461538462,606.1538461538462,1563922737.3253875
 56,261.6666666666667,594.9803921568628,606.9803921568628,1563922737.4093933
 56,263.1333333333333,594.9803921568628,606.9803921568628,1563922737.4914193
 57,257.8,594.9803921568628,606.9803921568628,1563922737.5765736
 58,267.0,592.0,608.0,1563922737.6726532
 59,268.5111111111111,590.9803921568628,606.9803921568628,1563922737.759422
 59,269.0888888888889,586.9803921568628,606.9803921568628,1563922737.8419008
 60,269.97777777777776,586.9803921568628,606.9803921568628,1563922737.9429545
 61,271.3777777777778,584.5436893203884,608.5436893203884,1563922738.0420706
 61,273.68888888888887,584.5436893203884,608.5436893203884,1563922738.149311
 62,274.0888888888889,582.9803921568628,606.9803921568628,1563922738.2473934
 63,276.8888888888889,578.9803921568628,606.9803921568628,1563922738.3445044
 64,279.2888888888889,578.9803921568628,605.0196078431372,1563922738.4428494
 64,280.6666666666667,578.9803921568628,605.0196078431372,1563922738.529618
 65,282.1333333333333,578.4854368932039,602.6019417475728,1563922738.6262774
 66,284.4,572.0493827160494,604.0493827160494,1563922738.7100122
 66,286.3333333333333,572.6060606060606,600.5656565656566,1563922738.807778
 67,288.1111111111111,570.9803921568628,602.9803921568628,1563922738.8979068
 67,290.4222222222222,570.9803921568628,602.9803921568628,1563922738.9953642
 68,291.75555555555553,566.1538461538462,602.1538461538462,1563922739.081406
 68,293.5777777777778,566.9803921568628,602.9803921568628,1563922739.1808581
